k,WCSS,Silhouette,CalinskiHarabasz,VMeasure
2,102017.14865418663,0.2540222349801395,4418.174649076199,0.5591901174446656
3,92258.78874848773,0.1798582716276123,3024.113671822473,0.5654164298106299
4,84853.25458251295,0.14950135162698103,2511.71719262968,0.5453914227539322
5,79939.24680401497,0.13370595717051617,2168.376392098193,0.5146819663013233
6,76078.19854062765,0.14445553756221088,1934.165738688171,0.48193554699019
7,72829.8081823706,0.1411904506505577,1765.2604931446176,0.42547955668603293
8,69969.1886652734,0.1397911516532328,1638.9976805942815,0.4825869684734331
9,67510.07302471469,0.1415130973699238,1536.2725665808307,0.46071139190099025
10,65840.55443712225,0.12898921890034298,1431.0373503131195,0.44816873785036215
